id,name,url,search_url,source_type,cc_free,direct_play
66,Vimeo,https://vimeo.com/,https://vimeo.com/search?q=,4,0,1
67,Veoh,http://www.veoh.com,http://www.veoh.com/find/?query=,4,0,1
68,Crackle,https://www.sonycrackle.com/,,4,0,1
69,The Internet Archive,https://archive.org/,https://archive.org/search.php?query=d,4,0,1
71,The Open Video Project,https://open-video.org/,,4,0,1
72,9GAG,https://9gag.com/,https://9gag.com/search?query=df,4,0,1
73,TED,https://www.ted.com/,https://www.ted.com/search?q=,4,0,1
74,Netflix,https://www.netflix.com/,,4,0,0
75,Amazon Video,https://www.amazon.com/Prime-Video/b?ie=UTF8&node=2676882011,,4,0,0
76,Hulu,https://www.hulu.com/,,4,0,0
77,HBO Now,https://play.hbonow.com/,,4,0,0
78,Sling TV,https://www.sling.com/,,4,0,0
79,Youtube TV,https://tv.youtube.com/,,4,0,0
80,Tubi TV,https://tubitv.com/,https://tubitv.com/search/,4,0,1
81,Mubi,https://mubi.com/,,4,0,0
82,Fandor,https://www.fandor.com/,,4,0,0
83,Shudder,https://www.shudder.com/,,4,0,0
84,Spuul,https://spuul.com/,,4,0,0
85,Pluto TV,https://pluto.tv/,,4,0,0
